min_price,max_price,cats,dogs,pet_policy_text,min_beds,max_beds,min_baths,max_baths,house_type,year_built,address,postal_code,state,city,pictures,pictures1,lat,lon,county,db
2545.0,12555.0,True,True,,0,3,1.0,3.5,apartment,2021.0,700 E 11th St,78701,TX,Austin,https://ar.rdcpix.com/76448d71b46d3ca9973295401e07160ac-f1564308254s.jpg,https://ar.rdcpix.com/76448d71b46d3ca9973295401e07160ac-f3424705968s.jpg,30.27112,-97.733792,Travis,1 - 700 E 11th St
1389.0,1980.0,True,True,,2,4,1.5,2.0,apartment,1971.0,4000 W 34th St,77092,TX,Houston,https://ar.rdcpix.com/1c0f5cc6d492bea949c856a7c47f5836c-f297281790s.jpg,https://ar.rdcpix.com/1c0f5cc6d492bea949c856a7c47f5836c-f987637112s.jpg,29.81782,-95.44982,Harris,2 - 4000 W 34th St
1515.0,2015.0,True,True,,1,2,1.0,2.0,apartment,1991.0,3000 Bissonnet St,77005,TX,Houston,https://ar.rdcpix.com/c89ede0fb8915392e1ace86b557ed027c-f3684825162s.jpg,https://ar.rdcpix.com/c89ede0fb8915392e1ace86b557ed027c-f3295512615s.jpg,29.72565,-95.42594,Harris,3 - 3000 Bissonnet St
1311.0,2665.0,True,True,,1,3,1.0,2.0,apartment,1998.0,16505 LA Cantera Pkwy,78256,TX,San Antonio,https://ar.rdcpix.com/5320141cdf9d42fee3040e18d9577e06c-f240115751s.jpg,https://ar.rdcpix.com/5320141cdf9d42fee3040e18d9577e06c-f239665817s.jpg,29.60032,-98.61688,Bexar,4 - 16505 LA Cantera Pkwy
1270.0,1925.0,True,True,We allow 2 pets per apartment. No Aggressive breeds. $200 Deposit / $200 Pet fee per pet plus $15/month Pet Rent.,0,2,1.0,2.0,apartment,2003.0,5720 Forest Park Rd,75235,TX,Dallas,https://ar.rdcpix.com/4b317f3edab113055adfea88ca935039c-f3332951111s.jpg,https://ar.rdcpix.com/4b317f3edab113055adfea88ca935039c-f3302726713s.jpg,32.820085,-96.839904,Dallas,5 - 5720 Forest Park Rd
1199.0,1619.0,True,True,,1,2,1.0,2.0,apartment,2014.0,2921 Airline Rd,78414,TX,Corpus Christi,https://ar.rdcpix.com/92ecd1841fd8745567f8eb39205d223bc-f879971188s.jpg,https://ar.rdcpix.com/92ecd1841fd8745567f8eb39205d223bc-f1503941856s.jpg,27.67463,-97.36557,Nueces,6 - 2921 Airline Rd
1268.0,2518.0,True,True,$100 Pet Fee for 2nd Pet. Cats and Dogs Allowed. No Size or Weight Limit. Breed Restrictions Apply.,0,3,1.0,2.0,apartment,2021.0,3200 Peek Rd,77449,TX,Katy,https://ar.rdcpix.com/214fb9dcd9b306d6e58ba38e2bc215afc-f1034096012s.jpg,https://ar.rdcpix.com/214fb9dcd9b306d6e58ba38e2bc215afc-f2219448226s.jpg,29.846238,-95.773463,Harris,7 - 3200 Peek Rd
1050.0,1500.0,True,True,"We gladly accept pets (cats and dogs) under 50 pounds, that are at least one (1) year of age. There is a two pet limit per apartment. The deposit is $200 (per pet) and the non-refundable pet fee is $200 (per apartment). A signed TAA Animal",1,2,1.0,2.0,apartment,1984.0,3200 S 1st St,78704,TX,Austin,https://ar.rdcpix.com/0d5ac6f30b95562f4a0b5bf48a9d8674c-f1562790848s.jpg,https://ar.rdcpix.com/0d5ac6f30b95562f4a0b5bf48a9d8674c-f967061448s.jpg,30.23366,-97.76589,Travis,8 - 3200 S 1st St
1520.0,2700.0,True,True,Limit 1 indoor pets per apartment. No exotic animals. Non-refundable pet fee of $350 for the first animal plus $350 for each additional animal.,0,3,1.0,2.0,apartment,2020.0,1900 Knightsbridge Rd,75234,TX,Farmers Branch,https://ar.rdcpix.com/8d21d3f600225f2f1c5d0a0ae3e760c6c-f1817241690s.jpg,https://ar.rdcpix.com/8d21d3f600225f2f1c5d0a0ae3e760c6c-f455895885s.jpg,,,Dallas,9 - 1900 Knightsbridge Rd
1811.0,3268.0,True,True,"1 Pet: $250 Deposit ($250 non-refundable), $20 monthly Pet Rent2 Pets: $250 Deposit ($500 non-refundable), $30 monthly Pet Rent. Breed restrictions apply/1 Pet: $250 Deposit ($250 non-refundable), $20 monthly Pet Rent2 Pets: $250 Deposit ($500 non-refundable), $30 monthly Pet Rent.",0,3,1.0,2.0,apartment,2017.0,1600 Springwoods Plaza Dr,77389,TX,Spring,https://ar.rdcpix.com/d463ef8b7cab7fc88035312f5d718ff6c-f2744177872s.jpg,https://ar.rdcpix.com/d463ef8b7cab7fc88035312f5d718ff6c-f3672685812s.jpg,30.10032,-95.44133,Harris,10 - 1600 Springwoods Plaza Dr
1174.0,1969.0,True,True,Cats Permitted/Large Dogs Permitted,1,3,1.0,3.0,apartment,2008.0,9140 Highway 6 N,77095,TX,Houston,https://ar.rdcpix.com/640534b4ff9a3a40db9d537f15672425c-f557848632s.jpg,https://ar.rdcpix.com/640534b4ff9a3a40db9d537f15672425c-f2238014525s.jpg,29.90906,-95.62671,Harris,11 - 9140 Highway 6 N
949.0,1299.0,True,True,,1,3,1.0,2.0,apartment,1968.0,2730 Lafferty Rd,77502,TX,Pasadena,https://ar.rdcpix.com/b38f98ff1ca4f5d20e323710b8d4e514c-f3459025755s.jpg,https://ar.rdcpix.com/b38f98ff1ca4f5d20e323710b8d4e514c-f2639344350s.jpg,29.67061,-95.19828,Harris,12 - 2730 Lafferty Rd
765.0,1125.0,True,True,,1,3,1.0,3.0,apartment,1954.0,151 S Resler Dr,79912,TX,El Paso,https://ar.rdcpix.com/0684cf3e8c935494ba189547a69bd5a5c-f3559954122s.jpg,https://ar.rdcpix.com/0684cf3e8c935494ba189547a69bd5a5c-f167714406s.jpg,31.833972,-106.551665,El Paso,13 - 151 S Resler Dr
